case_id,annotator_id,reviewer_id,initial_decision,review_decision,initial_policy,review_policy,initial_route,review_route,adjudicator_id,status,notes
C085,synthetic_author_v1,policy_consistency_check_v1,reject,reject,knockoff,knockoff,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C086,synthetic_author_v1,policy_consistency_check_v1,reject,reject,knockoff,knockoff,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C087,synthetic_author_v1,policy_consistency_check_v1,reject,reject,trademark_misuse,trademark_misuse,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C088,synthetic_author_v1,policy_consistency_check_v1,reject,reject,trademark_misuse,trademark_misuse,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C089,synthetic_author_v1,policy_consistency_check_v1,reject,reject,trademark_misuse,trademark_misuse,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C090,synthetic_author_v1,policy_consistency_check_v1,reject,reject,trademark_misuse,trademark_misuse,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C091,synthetic_author_v1,policy_consistency_check_v1,reject,reject,trademark_misuse,trademark_misuse,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C092,synthetic_author_v1,policy_consistency_check_v1,reject,reject,trademark_misuse,trademark_misuse,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C093,synthetic_author_v1,policy_consistency_check_v1,reject,reject,trademark_misuse,trademark_misuse,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C094,synthetic_author_v1,policy_consistency_check_v1,reject,reject,trademark_misuse,trademark_misuse,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C095,synthetic_author_v1,policy_consistency_check_v1,reject,reject,shop_impersonation,shop_impersonation,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C096,synthetic_author_v1,policy_consistency_check_v1,reject,reject,shop_impersonation,shop_impersonation,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C097,synthetic_author_v1,policy_consistency_check_v1,reject,reject,shop_impersonation,shop_impersonation,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C098,synthetic_author_v1,policy_consistency_check_v1,reject,reject,shop_impersonation,shop_impersonation,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C099,synthetic_author_v1,policy_consistency_check_v1,reject,reject,shop_impersonation,shop_impersonation,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C100,synthetic_author_v1,policy_consistency_check_v1,reject,reject,shop_impersonation,shop_impersonation,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C101,synthetic_author_v1,policy_consistency_check_v1,reject,reject,shop_impersonation,shop_impersonation,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C102,synthetic_author_v1,policy_consistency_check_v1,reject,reject,shop_impersonation,shop_impersonation,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C103,synthetic_author_v1,policy_consistency_check_v1,reject,reject,risky_query,risky_query,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C104,synthetic_author_v1,policy_consistency_check_v1,reject,reject,risky_query,risky_query,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C105,synthetic_author_v1,policy_consistency_check_v1,reject,reject,risky_query,risky_query,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C106,synthetic_author_v1,policy_consistency_check_v1,reject,reject,risky_query,risky_query,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C107,synthetic_author_v1,policy_consistency_check_v1,reject,reject,risky_query,risky_query,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C108,synthetic_author_v1,policy_consistency_check_v1,reject,reject,risky_query,risky_query,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C109,synthetic_author_v1,policy_consistency_check_v1,reject,reject,risky_query,risky_query,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C110,synthetic_author_v1,policy_consistency_check_v1,reject,reject,risky_query,risky_query,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C111,synthetic_author_v1,policy_consistency_check_v1,reject,reject,risky_query,risky_query,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C112,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C113,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C114,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C115,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C116,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C117,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C118,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C119,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C120,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C121,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C122,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C123,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C124,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C125,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C126,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C127,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C128,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C129,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C130,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C131,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C132,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C133,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C134,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C135,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C136,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C137,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C138,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C139,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C140,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C141,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C142,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C143,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,human_review,human_review,,synthetic_verified,Requires independent human signoff before production use.
C144,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C145,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C146,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C147,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C148,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C149,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
C150,synthetic_author_v1,policy_consistency_check_v1,approve,approve,,,auto_decide,auto_decide,,synthetic_verified,Requires independent human signoff before production use.
