asset_id,relative_path,sha256,media_type,source_type,license_or_terms,created_by,notes
IMG-C151,data/golden_set/assets/v4/IMG-C151.png,7f2b5387935851815555517dae0ad74ab3f4d2354285a391b2226daf0e3572b2,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C162,data/golden_set/assets/v4/IMG-C162.png,7fd3d57c0078336f39f860f189f33544d0ccbf8121cafa550c0a54ed335a65cb,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=tiny_text.
IMG-C163,data/golden_set/assets/v4/IMG-C163.png,24d87b1e1cabf5a2080ebbc79d9566a2c9be779b2060cf646c60435b78f6b009,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C164,data/golden_set/assets/v4/IMG-C164.png,5569bf96f1d9ef40d43f1b6595df743f8ae76277a5fbeefad8c4c71d36062d15,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=low_contrast.
IMG-C165,data/golden_set/assets/v4/IMG-C165.png,d3226f7bcbd767802471479e67047701c44cd6af7eadb92f5a4eb5afb19df28f,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=rotated.
IMG-C166,data/golden_set/assets/v4/IMG-C166.png,e2fe0e996e22ec626e91bef3a701d3003f1b89ab2fd3018a74db594ea4f6de9f,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=occluded.
IMG-C167,data/golden_set/assets/v4/IMG-C167.png,1aa8c6cf927167fad5929cb9bb30ff2d861834d64680529dea425588ab2a98fa,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C168,data/golden_set/assets/v4/IMG-C168.png,12253887054e66c2fac07b75a625bef04c033f11000a1a09a0d66901fc888498,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=tiny_text.
IMG-C169,data/golden_set/assets/v4/IMG-C169.png,a04c3e993eff3ad8d5ad2adb316caba53f21a3926ce443a544185eda86ad4971,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C170,data/golden_set/assets/v4/IMG-C170.png,78f1d27529e7ea54aa5da6288eec8d91b61dbbaba7881e7b3a463b91b710cc93,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=low_contrast.
IMG-C171,data/golden_set/assets/v4/IMG-C171.png,7f8b457de84dcfc9d3d9428c94652157b34bcf7818a86a3ed6cef254f9256c64,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=rotated.
IMG-C172,data/golden_set/assets/v4/IMG-C172.png,e564cb47619aaa6a50aa461f0900c990bf19fd37ffe08d83b7b1ce4641bed3e5,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=occluded.
IMG-C173,data/golden_set/assets/v4/IMG-C173.png,74fd672440e186598c1c996f4f8cb2492681de7d1b328aec8ecba9074b446767,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C174,data/golden_set/assets/v4/IMG-C174.png,45d6bb643e2095861a399fe28f13b62850519d8e3a5ffece255be11a1b08da51,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=tiny_text.
IMG-C175,data/golden_set/assets/v4/IMG-C175.png,8ad1225feb351e2da2bc52aa901633c1c09b921dfe79f6a30c2e4652868b0a8b,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C176,data/golden_set/assets/v4/IMG-C176.png,be408d8335d2eaf2fa66a88fe97fb0edf7932665e914e5feffe89f54aa41e66f,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=low_contrast.
IMG-C177,data/golden_set/assets/v4/IMG-C177.png,bfe57f303c74a5b4dd112f3636c779da44a257809140196b5364797af6fb7cf9,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=rotated.
IMG-C178,data/golden_set/assets/v4/IMG-C178.png,4c7090a81971c5b55ceccf258cf327a47014da9c4869fd691551221ee97c075d,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=occluded.
IMG-C179,data/golden_set/assets/v4/IMG-C179.png,01c4991f5169ac04659f5c5a3980067cf41a0cca6151a4615324d2b95ccec874,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C180,data/golden_set/assets/v4/IMG-C180.png,2ed74019d82d8d904667d020338d9b615ca81481db5a60c60d9a487f7b462cb6,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=tiny_text.
IMG-C181,data/golden_set/assets/v4/IMG-C181.png,f848bb8e3cd7f857398f2100790803f91c6e3ee552d7126a63b1576347bdd181,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C182,data/golden_set/assets/v4/IMG-C182.png,d952da0722f6b60a2a4ece1f5853b8fd0b36b2c12f966f7f417d6cafa751f068,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=low_contrast.
IMG-C183,data/golden_set/assets/v4/IMG-C183.png,a6ea01218cdb8a9ca1dc3944ebc473eaf745b7685808bdaf9fc244f5988350b8,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=rotated.
IMG-C184,data/golden_set/assets/v4/IMG-C184.png,7ca6bd3d0832db07f54f47430232281b808f293954c403fb9a73308955b07ad8,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C185,data/golden_set/assets/v4/IMG-C185.png,b37652e8ea1a68eefa894f77439d23c0733bb7d08472e4bf06c7ef562b17ac84,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=low_contrast.
IMG-C186,data/golden_set/assets/v4/IMG-C186.png,381866d81b6c085252e3c105366086c239fe5c921d1078d710307d3fc7740688,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=rotated.
IMG-C187,data/golden_set/assets/v4/IMG-C187.png,f73ffb37e6d488997804966792f08fab2e39e5b52a50a13ed68e7c33ec70b4b0,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C188,data/golden_set/assets/v4/IMG-C188.png,09d5a06d32a2d0d8b88951cea62eb8ab644c07aa343469579af149d4a7a22694,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=low_contrast.
IMG-C189,data/golden_set/assets/v4/IMG-C189.png,da8a20e5a1a7a26f692fde44d4fa15fdd7f6c5d16f03f3076b31c2e6b5011f2a,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=rotated.
IMG-C190,data/golden_set/assets/v4/IMG-C190.png,370b7b8ac4d2c661b9e4025b7ff630efef5422a0758c3b316a60eb2768bd6e33,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C191,data/golden_set/assets/v4/IMG-C191.png,56eb57b5fb0d1f9e3458e1e02dd79484f173ff160dcec76a17138ea95240cbfe,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=low_contrast.
IMG-C192,data/golden_set/assets/v4/IMG-C192.png,75f983343d4c11c02c64aa40614bcaaaa0a0fcee5ef40d9580da80d6c00db9f4,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=rotated.
IMG-C193,data/golden_set/assets/v4/IMG-C193.png,c09f359bbf4412f0bde03fdd3ea730d5635258abd33f5dc6741b1a4acfb8f875,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C194,data/golden_set/assets/v4/IMG-C194.png,e74d1804b866ccbe93d3145ef25f76e72dfc44f63967356ee37e91dfb976ad37,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=low_contrast.
IMG-C195,data/golden_set/assets/v4/IMG-C195.png,4d244e91fd96ceb27950e825240fc1f76cceb75d852db88867d83da49211130a,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=rotated.
IMG-C196,data/golden_set/assets/v4/IMG-C196.png,6f6be3954ef944d4002e88be5b5ea480f0cfac99296b6d74570c9be501cdab71,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C197,data/golden_set/assets/v4/IMG-C197.png,abe2cd5f7abdccbcb470f5517aa2e3e0125089f7a8f73ba70c15a2a183f46d92,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=low_contrast.
IMG-C198,data/golden_set/assets/v4/IMG-C198.png,a2443fd3b28e78f8a8a6237f8062e86701dd27bf3bc13a7601ebc4fdbdee363b,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=rotated.
IMG-C199,data/golden_set/assets/v4/IMG-C199.png,649236e75040b1584af9d67f68154b1ad9accbd20dedc549278e1da99a63e191,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=tiny_text.
IMG-C200,data/golden_set/assets/v4/IMG-C200.png,28b732182be528bad9524fa767edbc1094225418ad4a0ea41bd8c80ebf72b199,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C201,data/golden_set/assets/v4/IMG-C201.png,1cc7a7af73d028cb0a6d40309e3dd24150df2e564f3754882f9e657b35c9e64d,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=low_contrast.
IMG-C202,data/golden_set/assets/v4/IMG-C202.png,52086ab6f5041097ce9662d2fdcc89a9bfdf058a783afd0de6237c6cbfb207c5,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=rotated.
IMG-C203,data/golden_set/assets/v4/IMG-C203.png,a675499cf3e2da7fe2af10f13c797ccba3d756eea3ab74edf10c350dbdb1a980,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=tiny_text.
IMG-C204,data/golden_set/assets/v4/IMG-C204.png,88525ac11ceca05368a99f1e0b575812bbef0e8842ffe62c390faba3be83e5d4,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=clear.
IMG-C205,data/golden_set/assets/v4/IMG-C205.png,f23d935561f4d55e0ab14bdbb83d7ecaa2f45d4b4cc86c3321dae41bd6005b4a,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=low_contrast.
IMG-C206,data/golden_set/assets/v4/IMG-C206.png,f4da98386b6ea6248cdf50074894b6b064fc3bfa0fe2acc12955eaf6c5119fcb,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=occluded.
IMG-C207,data/golden_set/assets/v4/IMG-C207.png,b67cbd05e03c682a0634d5848785795b2b983b1d8ce83655527c2845bd0cd329,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=occluded.
IMG-C208,data/golden_set/assets/v4/IMG-C208.png,879e7eefcac82d21ed8ee5ed07fe62016d6ee5e71e1538c0aa949c8bc758c9fc,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=occluded.
IMG-C209,data/golden_set/assets/v4/IMG-C209.png,40294db6a90e4375127f061f828ecf695845f85f6ab5ba93a0c823cb7f4b5e23,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=occluded.
IMG-C210,data/golden_set/assets/v4/IMG-C210.png,64e5867ac04f37ca3442648f6f760c63b7750299872a92bbff2f2afbee734799,image/png,deterministic_synthetic,project_generated,build_golden_set_v4.py,Day 7 controlled visual fixture; condition=occluded.
