asset_id,relative_path,sha256,media_type,source_type,license_or_terms,created_by,notes
IMG-C072,data/golden_set/assets/v3/IMG-C072.png,543478e0df8e52a204adef08fbd4c9450029d0e31aa10fcf581a1f34a020f259,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C094,data/golden_set/assets/v3/IMG-C094.png,eeed00a3a00070e37974576f17d3f68caa5feb1b27e8bd41d3e29bd56c31b25d,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C096,data/golden_set/assets/v3/IMG-C096.png,cfecc21db6a21568c330f57ad2906680066f12572262e718307a335f248b3fdc,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C098,data/golden_set/assets/v3/IMG-C098.png,73f7bef8dd1a05f60f07835934c2ac5891f12fe8a00427b42e6deefb0d6a8358,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C100,data/golden_set/assets/v3/IMG-C100.png,4bd922fc39c495b2b2cf55e6b9a55ef0271292bb3dfd2e69a50c3b1e210c6c2f,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C112,data/golden_set/assets/v3/IMG-C112.png,706a27308f4867e512e93f04eef0211edf06c0f53aab6c60e890dd97eb6e50de,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C114,data/golden_set/assets/v3/IMG-C114.png,a20400aeb455493c41f00f6713ddd213c226e1496eb0fb3fbbdd171d0f1f8b21,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C116,data/golden_set/assets/v3/IMG-C116.png,29fb77cad1ed04011e945e99a8859426969238ba0b7e2cf1448d3657ade7129f,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C118,data/golden_set/assets/v3/IMG-C118.png,3e41df81893d4093c511441442487bea5842103fddabdb77d452dddf573360ec,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C120,data/golden_set/assets/v3/IMG-C120.png,a6c750ec757ba7c00bc1326bd605de440f5cda5100697436cb197dd3e67371e9,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C121,data/golden_set/assets/v3/IMG-C121.png,c411cea5b0dd62fac56627c69e014dc4472f1da8d580d332846775142f2b4b31,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C123,data/golden_set/assets/v3/IMG-C123.png,0c8b0c517267ba8aea0e311098a1350da8333530f61a1af64ff54e8461d551c1,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C125,data/golden_set/assets/v3/IMG-C125.png,5a926f085eb3d809f08bf42ec93b90564bbe857f0442688e290713b444750b3c,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C127,data/golden_set/assets/v3/IMG-C127.png,46218a62d69e9e6417ab048982ccf25b8794448a661edae984b4b001056a4531,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C129,data/golden_set/assets/v3/IMG-C129.png,7c3d47194756943b30156e796886bdcd1ac08d0756c54a073fdbeb7260f61a77,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C131,data/golden_set/assets/v3/IMG-C131.png,50de3d3b92eee152af81108a252d06635413def525cd4be16f3741bfb7e5bd5e,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C133,data/golden_set/assets/v3/IMG-C133.png,b7d9fb7103bc94ca31cc0704eaaf6cedc74640d1b294b96d0d6638e82e6f6e2c,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C135,data/golden_set/assets/v3/IMG-C135.png,a02bced26eaaa285ae46ffd592f27f47b7aa0b611805df7617ebb0d92dcf0e2c,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C137,data/golden_set/assets/v3/IMG-C137.png,7e36be85697c455dff6070d31a4bed594011caa652e5ca8e158c924b40f01736,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
IMG-C139,data/golden_set/assets/v3/IMG-C139.png,e422638bfe794c5a34b2ce4cbba0fd78163c187f2d64b29b49bcfe5318ec2ce8,image/png,deterministic_synthetic,project_generated,build_golden_set_v3.py,Controlled visual policy fixture; no production data.
