schema_version,dataset_version,case_id,content_type,input_text,image_url,human_decision,expected_policy,expected_exemption,risk_level,is_boundary_case,human_reason,source,split,expected_route,tags
1.1.0,v2.0.0,C021,query,"how to make fake iPhone chargers pass authenticity checks",,reject,risky_query,none,high,false,"The query seeks counterfeit production and evasion of authenticity controls.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C022,query,"cheap Gucci knockoff suppliers with no logo photos",,reject,risky_query,none,high,false,"The query seeks knockoff supply and concealment methods.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C023,query,"where to order replica Yeezys that customs will not detect",,reject,risky_query,none,high,false,"The query requests replica goods and advice for evading enforcement.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C024,query,"best keywords to find fake Chanel bags",,reject,risky_query,none,high,false,"The query explicitly requests techniques for locating counterfeit goods.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C025,query,"seller guide for hiding counterfeit brand names in listings",,reject,risky_query,none,high,false,"The query requests methods to conceal counterfeit listings from moderation.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C026,product,"Protective case compatible with iPhone 15 Pro; not made by Apple",,approve,,compatibility,low,true,"The brand is used accurately to describe compatibility and non-affiliation is clear.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C027,product,"Replacement brush heads fit Philips Sonicare handles",,approve,,compatibility,low,true,"The trademark identifies interoperability rather than product origin or sponsorship.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C028,product,"USB-C charging cable for use with Samsung Galaxy devices",,approve,,compatibility,low,true,"The wording is a factual compatibility statement without an authorization claim.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C029,query,"which generic stylus is compatible with iPad",,approve,,compatibility,low,true,"The query neutrally asks about interoperability and does not seek infringing goods.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C030,product,"Third-party vacuum filter fits Dyson V10; Dyson is a trademark of its owner",,approve,,compatibility,low,true,"The listing accurately describes fit and clearly identifies third-party origin.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C031,product,"Pre-owned authentic Coach wallet with receipt and visible wear",,approve,,second_hand,low,true,"The listing truthfully offers a used authentic item and includes provenance details.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C032,video,"Condition review of my used Nike running shoes before resale",,approve,,second_hand,low,true,"The content documents resale of a used genuine product without counterfeit signals.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C033,product,"Second-hand LEGO set, opened box, all original pieces included",,approve,,second_hand,low,true,"The listing clearly states used condition and makes no false affiliation claim.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C034,product,"Vintage 1998 Patagonia jacket from my personal collection",,approve,,second_hand,low,true,"A specific pre-owned authentic item may be resold under the second-hand exemption.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C035,shop_name,"Maya's Pre-Owned Designer Closet",,approve,,second_hand,low,true,"The shop describes a resale business without claiming to be an official brand store.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C036,product,"Fresh apple juice, six glass bottles",,approve,,meaningful_word,low,true,"Apple is used in its ordinary fruit meaning rather than as a technology trademark.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C037,video,"How I planned a productive gap year",,approve,,meaningful_word,low,true,"Gap is used as an ordinary phrase unrelated to the apparel brand.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C038,product,"Handmade shell necklace from natural sea shells",,approve,,meaningful_word,low,true,"Shell is used in its ordinary descriptive meaning rather than as a brand reference.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C039,shop_name,"Amazon Rainforest Books",,approve,,meaningful_word,low,true,"Amazon refers to the geographic rainforest context and does not imply marketplace affiliation.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C040,query,"how to wash a puma after wildlife rescue",,approve,,meaningful_word,low,true,"Puma is used as an animal name in a non-commercial wildlife context.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C041,shop_avatar,"Portrait of the seller wearing a small Nike shirt logo; face remains the main subject",,approve,,incidental_exposure,low,true,"The logo is incidental to a personal portrait and is not the promoted subject.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C042,video,"Home cooking tutorial with a Coca-Cola bottle in the background",,approve,,incidental_exposure,low,true,"The branded bottle appears incidentally and is unrelated to the promoted cooking content.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C043,video,"Street interview filmed beside a McDonald's sign",,approve,,incidental_exposure,low,true,"The trademark is environmental background context rather than a commercial claim.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C044,product,"Photo of a handmade desk with a closed MacBook visible in the room",,approve,,incidental_exposure,low,true,"The branded laptop is incidental background and not part of the product offer.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C045,shop_avatar,"Family photo at Disneyland with no store branding or sales text",,approve,,incidental_exposure,low,true,"The brand appears only as incidental location context and does not identify the shop.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C046,product,"Official Adidas x LEGO sneaker, product code shown on packaging",,approve,,co_brand,low,true,"The listing identifies a documented collaboration and provides verifiable product details.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C047,product,"Uniqlo x Keith Haring licensed graphic T-shirt with original tags",,approve,,co_brand,low,true,"The product is presented as a documented licensed collaboration with provenance.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C048,video,"Review of the genuine Nike x Off-White release purchased from the launch",,approve,,co_brand,low,true,"The content discusses a known collaboration and does not offer an unauthorized copy.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C049,query,"how can I check whether a used handbag is authentic",,approve,,none,low,false,"The query seeks neutral authenticity information and does not request infringing goods.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C050,product,"Plain blue cotton tote bag with no logos or brand references",,approve,,none,low,false,"The generic product contains no trademark, imitation, impersonation, or risky-query signal.",synthetic,regression,auto_decide,legacy_v1
1.1.0,v2.0.0,C051,product,"Gucci handbag, limited edition",,approve,,none,medium,true,"A human reviewer verified a genuine resale listing, but the submitted text alone does not establish authenticity or an exemption.",synthetic,regression,human_review,brand_only|insufficient_context
1.1.0,v2.0.0,C052,product,"Rolex watch with box and papers",,reject,counterfeit,none,high,true,"A human investigation confirmed counterfeit documentation, but the visible listing text alone is insufficient for automatic rejection.",synthetic,regression,human_review,brand_only|insufficient_context
1.1.0,v2.0.0,C053,product,"Nike running shoes size 9",,approve,,none,medium,true,"The item was verified as authentic, while the short brand-only description provides too little evidence for automation.",synthetic,regression,human_review,brand_only|insufficient_context
1.1.0,v2.0.0,C054,product,"Chanel handbag with serial tag",,reject,counterfeit,none,high,true,"A human reviewer confirmed that the serial tag was fabricated, which cannot be determined from the listing text alone.",synthetic,regression,human_review,brand_only|insufficient_context|conflicting_signals
1.1.0,v2.0.0,C055,product,"Samsung phone case in excellent condition",,approve,,none,medium,true,"The case was verified as a genuine first-party item, but brand presence alone is not enough to auto-approve.",synthetic,regression,human_review,brand_only|insufficient_context
1.1.0,v2.0.0,C056,product,"Adidas sneakers from direct supplier",,reject,trademark_misuse,none,high,true,"Human review found unauthorized trademark application; the short supplier claim does not independently prove the violation.",synthetic,regression,human_review,brand_only|insufficient_context
1.1.0,v2.0.0,C057,product,"LEGO storage box, red",,approve,,none,medium,true,"A reviewer verified a genuine branded storage product, while the terse text remains context-poor.",synthetic,regression,human_review,brand_only|insufficient_context
1.1.0,v2.0.0,C058,shop_name,"Coach Handbag Clearance",,reject,shop_impersonation,none,high,true,"Account-level evidence showed brand impersonation, but the name alone does not make an official-store claim.",synthetic,regression,human_review,brand_only|insufficient_context
1.1.0,v2.0.0,C059,product,"Patagonia jacket, blue, medium",,approve,,none,medium,true,"The jacket was verified as authentic, but the brand-only description should not be auto-classified.",synthetic,regression,human_review,brand_only|insufficient_context
1.1.0,v2.0.0,C060,product,"AirPods sealed box",,reject,counterfeit,none,high,true,"A human inspection found a counterfeit product, while the submitted text contains no direct counterfeit indicator.",synthetic,regression,human_review,brand_only|insufficient_context
1.1.0,v2.0.0,C061,product,"Fake Gucci wallet with replica logo and branded packaging",,reject,counterfeit,none,high,true,"Explicit fake and replica language directly establishes a counterfeit branded product.",synthetic,regression,auto_decide,counterfeit|explicit_signal
1.1.0,v2.0.0,C062,shop_name,"Official Chanel Outlet",,reject,shop_impersonation,none,high,true,"The shop name explicitly presents an unaffiliated seller as an official branded outlet.",synthetic,regression,auto_decide,shop_impersonation|explicit_signal
1.1.0,v2.0.0,C063,query,"best keywords to hide counterfeit Nike shoes from authenticity checks",,reject,risky_query,none,high,true,"The query explicitly seeks counterfeit goods and asks how to evade authenticity controls.",synthetic,regression,auto_decide,risky_query|evasion|explicit_signal
1.1.0,v2.0.0,C064,product,"Protective sleeve compatible with MacBook Pro; not made by Apple",,approve,,compatibility,low,true,"The brand reference truthfully describes compatibility and clearly disclaims affiliation.",synthetic,regression,auto_decide,exemption|compatibility
1.1.0,v2.0.0,C065,product,"Pre-owned genuine Coach bag from my personal collection",,approve,,second_hand,low,true,"The listing describes a genuine second-hand item from a personal collection.",synthetic,regression,auto_decide,exemption|second_hand
1.1.0,v2.0.0,C066,video,"Making fresh apple juice at home with no electronics shown",,approve,,meaningful_word,low,true,"Apple is used in its ordinary food meaning rather than as a protected electronics mark.",synthetic,regression,auto_decide,exemption|meaningful_word
1.1.0,v2.0.0,C067,video,"Street interview; a Nike logo is visible in the background while the speaker remains the main subject",,approve,,incidental_exposure,low,true,"The trademark exposure is incidental background context rather than commercial use.",synthetic,regression,auto_decide,exemption|incidental_exposure
1.1.0,v2.0.0,C068,product,"Nike x Off-White licensed collaboration with original tags and product code",,approve,,co_brand,low,true,"The listing supplies concrete support for a licensed co-brand collaboration.",synthetic,regression,auto_decide,exemption|co_brand
1.1.0,v2.0.0,C069,product,"Plain stainless steel water bottle with no logos",,approve,,none,low,true,"The generic product has no brand, imitation, impersonation, or evasion signal.",synthetic,regression,auto_decide,unbranded|negative_control
1.1.0,v2.0.0,C070,product,"Generic ceramic mug printed with a large Starbucks logo",,reject,trademark_misuse,none,high,true,"A protected logo is used as the primary identity of an unrelated generic product.",synthetic,regression,auto_decide,trademark_misuse|explicit_signal
